platform,platform_name,title_zh,title_en,title_ja,release_date,release_date_na,release_date_pal,publisher,wiki_url,publisher_wiki_url
FC,Family Computer,DORA麻将,Mahjong RPG Dora Dora Dora,麻雀RPG ドラドラドラ,1991年1月25日,,,Natsume,,https://zh.wikipedia.org/wiki/Natsume
FC,Family Computer,送报员,Paperboy,ペーパーボーイ,1991年1月30日,,,Arutoron,https://zh.wikipedia.org/wiki/%E9%80%81%E5%A0%B1%E5%93%A1_(%E9%81%8A%E6%88%B2),
FC,Family Computer,高尔夫锦标赛,Golf Grand Slam,ゴルフグランドスラム,1991年1月31日,,,Hect,,
FC,Family Computer,冠军杯保龄球,Championship Bowling,チャンピオンシップボウリング,1991年2月8日,,,アテナ,,
FC,Family Computer,幽灵列车,Akagawa Jirou no Yuurei Ressha,赤川次郎の幽霊列車,1991年2月8日,,,キングレコード,,
FC,Family Computer,黑暗骑士,Dark Lord,ダークロード,1991年2月8日,,,Data East,,
FC,Family Computer,阳伞平平-刺激的童话世界,Parasol Henbee,パラソルヘンべえ おとぎの国は大さわぎ!,1991年2月15日,,,エポック社,,
FC,Family Computer,将棋龙王赛,Famicom Shougi - Ryuuousen,ファミコン将棋竜王戦,1991年2月15日,,,I'MAX,,
FC,Family Computer,行星戒严令,Max Warrior - Wakusei Kaigenrei,マックスウォーリアー 惑星戒厳令,1991年2月15日,,,VAP,,https://zh.wikipedia.org/wiki/VAP
FC,Family Computer,迷你高尔夫,Mini Putt,ミニパット,1991年2月15日,,,A-WAVE,,
FC,Family Computer,井出洋介名人的实战麻雀2,Ide Yousuke Meijin no Jissen Mahjong 2,井出洋介名人の実戦麻雀II,1991年2月22日,,,卡普空,,https://zh.wikipedia.org/wiki/%E5%8D%A1%E6%99%AE%E7%A9%BA
FC,Family Computer,双截龙III 罗塞塔之石,Double Dragon III: The Sacred Stone,ダブルドラゴンIII ザ・ロゼッタストーン,1991年2月22日,,,Technōs Japan,https://zh.wikipedia.org/wiki/%E5%8F%8C%E6%88%AA%E9%BE%99III_%E7%BD%97%E5%A1%9E%E5%A1%94%E4%B9%8B%E7%9F%B3,https://zh.wikipedia.org/wiki/Techn%C5%8Ds_Japan
FC,Family Computer,彩虹丝路,Niji no Silk Road,虹のシルクロード,1991年2月22日,,,Victor音乐产业,,https://zh.wikipedia.org/wiki/Victor_Entertainment
FC,Family Computer,守护剑士,Grand Master,グランドマスター,1991年2月26日,,,バリエ,,
FC,Family Computer,太阳电子棒球子卡OB全明星赛编,Nantettatte!! Baseball - Kogame Set OB All Star Hen,なんてったって!!ベースボール 子ガメカセットOBオールスター編,1991年2月26日,,,Sun电子,,
FC,Family Computer,究极棒球3,Kyuukyoku Harikiri Stadium 3,究極ハリキリスタジアムIII,1991年3月1日,,,太东,,https://zh.wikipedia.org/wiki/%E5%A4%AA%E6%9D%B1
FC,Family Computer,超级中国人3,Super Chinese 3,スーパーチャイニーズ3,1991年3月1日,,,Culture Brain,,
FC,Family Computer,南梦宫麻将3：麻将天国,Namcot Mahjong 3 - Mahjong Tengoku,ナムコット麻雀III マージャン天国,1991年3月8日,,,南梦宫,,
